"Row.names"	"mzmed"	"mzmin"	"mzmax"	"rtmed"	"rtmin"	"rtmax"	"npeaks"	"X1"	"ms_level"	"B1_NIST1950_1_6540.mzML"	"B1_NIST1950_2_6540.mzML"	"B1_NIST1950_3_6540.mzML"
"FT3181"	494.125169318343	494.124144829347	494.125884141877	85.0021438598633	84.00400000002	86.9947662353516	3	3	1	10204.8338953275	5676.17634997064	5602.21902998767
"FT3182"	494.392535694772	494.392515429195	494.39256274973	48.096	48.0959663391113	53.2761840820312	3	3	1	43906.2486442566	44243.0691197457	43495.1237053296
"FT3183"	495.116856197401	495.116814778403	495.117426957655	194.721	194.711853027344	195.617645263672	3	3	1	5499.41149901681	3298.62992680266	3796.66811605683
"FT3184"	495.127125101536	495.126419920472	495.1278302826	85.9984550476074	85.0021438598633	86.9947662353516	2	2	1	3287.52632167236	1768.18134115069	2577.93719387936
"FT3185"	495.292795580377	495.292240166527	495.293350994228	61.5615483703713	61.06300000002	62.0600967407227	2	2	1	12189.0475134156	14274.7010660031	14807.3502675284
"FT3186"	495.403865391096	495.403781505276	495.40424534703	48.096	48.0959663391113	53.2761840820312	3	3	1	99093.5985434149	85284.0703480418	87211.53182693
"FT3187"	496.0263059773	496.025290447874	496.027148964483	580.734985351562	577.743957519531	580.73599999998	3	3	1	2277.33854522485	2799.54888210326	3566.70188873288
"FT3188"	496.120244810795	496.120244810795	496.120244810795	195.617645263672	195.617645263672	195.617645263672	1	1	1	1910.5655884552	NA	345.538615715025
"FT3189"	496.295380363933	496.295380363933	496.295380363933	65.4275588989258	65.4275588989258	65.4275588989258	1	1	1	4727.66753760612	1388.55052360725	2237.73412716634
"FT3190"	496.407593074723	496.407166782296	496.408019367149	47.5974785308838	47.0989570617676	48.096	2	2	1	16147.1913179361	24239.767712179	25877.2562020111
"FT3191"	496.407902350952	496.407902350952	496.407902350952	53.2761840820312	53.2761840820312	53.2761840820312	1	1	1	30184.3935801047	12910.0720471605	8154.15017403499
"FT3192"	497.142408440015	497.142331183968	497.144635558672	287.485015869141	287.48500000002	288.471618652344	3	3	1	3040.32102001189	2808.41714020231	3337.91372575924
"FT3193"	497.167872932034	497.16742306265	497.168322801418	54.1096172332764	52.0860137939453	56.1332206726074	2	2	1	11824.0501363583	4332.57429852622	5644.80177699892
"FT3194"	497.280083777927	497.276637096278	497.455740852113	56.07499999998	55.1852531433105	57.0730590820312	3	3	1	30841.1512692261	13211.202447442	19676.7747735344
"FT3195"	497.420637583148	497.385037528203	497.45620209017	50.0909959869385	47.0989570617676	52.3147850036621	4	3	1	14948.0395456824	27551.2481433969	29663.4887061615
"FT3196"	497.321336311454	497.278053798565	497.364618824344	62.9012203216553	61.7473335266113	64.0551071166992	2	2	1	20788.8625835694	637.773783287573	2591.05477340699
"FT3197"	498.095754289556	498.095385913794	498.096122665318	94.9760676269431	94.97599999998	94.9761352539062	2	2	1	1678.68768124132	2677.54068397522	2872.8500828333
"FT3198"	498.186728070621	498.186565786074	498.186890355168	261.538208007812	261.533935546875	261.54248046875	2	2	1	2758.40967731975	2212.80462011648	3054.43117927552
"FT3199"	498.262951461487	498.262074395836	498.263230872612	71.0381393432617	71.037	72.6777648925781	3	3	1	14280.112697731	5682.78679422491	12848.7638601364
"FT3200"	498.288957051519	498.288288513691	498.289424900976	56.0760536193848	56.07499999998	60.819580078125	3	3	1	35620.9435331674	29175.4329196965	29481.9950444415
"FT3201"	498.46081637938	498.46081637938	498.46081637938	50.090991973877	50.090991973877	50.090991973877	1	1	1	NA	10357.2235958464	9553.96130182168
"FT3202"	498.460303242766	498.460303242766	498.460303242766	56.1332206726074	56.1332206726074	56.1332206726074	1	1	1	10247.3078733382	NA	NA
"FT3203"	498.859620619916	498.859525994742	498.861723852192	785.214	784.216979980469	786.212036132812	3	3	1	22922.1458742255	21867.8461200806	23514.577520048
"FT3204"	498.952399867311	498.951766237405	498.952511850841	437.10302734375	436.104949951172	438.10000000002	3	3	1	34669.6591825482	42342.9348962722	58688.4293252437
"FT3205"	498.930156137864	498.929900468846	498.930411806881	47.5974785308838	47.0989570617676	48.096	2	2	1	80282.3753885931	76444.1546414893	76417.264441452
"FT3206"	498.929878447448	498.929878447448	498.929878447448	53.2761840820312	53.2761840820312	53.2761840820312	1	1	1	82326.6455597728	14167.9053531195	12414.0419579846
"FT3207"	498.952670166546	498.952670166546	498.952670166546	602.679992675781	602.679992675781	602.679992675781	1	1	1	137260.885096223	132498.934834929	120176.672444221
"FT3208"	498.952657532714	498.952657532714	498.952657532714	456.054016113281	456.054016113281	456.054016113281	1	1	1	50920.4931787986	36604.4655827168	29758.2747747052
"FT3209"	499.183791755374	499.183651972174	499.184510818744	261.54248046875	261.533935546875	261.55099999998	3	3	1	12504.884159516	9966.95796464826	8466.78661518735
"FT3210"	499.293152716684	499.292708625999	499.312139354431	56.5745268097024	53.2761840820312	61.7473335266113	4	3	1	9997.66705024743	27778.889609819	30116.028204205
"FT3211"	499.37742263481	499.376553626284	499.378277561512	48.096	48.0959663391113	52.3147850036621	3	3	1	21134.4858158472	28130.5246822955	26569.450265763
"FT3212"	499.398505473978	499.398505473978	499.398505473978	61.7473335266113	61.7473335266113	61.7473335266113	1	1	1	5389.17768090148	349.807114959423	440.417683819192
"FT3213"	499.827974932149	499.827974932149	499.827974932149	785.215026855469	785.215026855469	785.215026855469	1	1	1	900.033221328141	1763.82632981398	4403.04353942693
"FT3214"	500.277819699054	500.27780115929	500.277890664578	69.0431289672852	69.042	72.6777648925781	3	3	1	189254.531762578	166143.961129062	171089.582339531
"FT3215"	500.382103842509	500.381767753486	500.382439931533	46.5994684448342	46.1009368896484	47.09800000002	2	2	1	NA	6416.85530845642	6145.28059467845
"FT3216"	500.380736747305	500.380736747305	500.380736747305	52.3147850036621	52.3147850036621	52.3147850036621	1	1	1	7515.39903259277	NA	NA
"FT3217"	500.878926444242	500.878752630164	500.879114205252	786.21100000002	784.216979980469	786.212036132812	3	3	1	7724.65000991486	5355.89313772172	8097.20040296541
"FT3218"	501.133004254999	501.133004254999	501.133004254999	38.121	38.121	38.121	1	1	1	NA	4364.17295261282	294.076785775705
"FT3219"	501.281631830398	501.281454157918	501.281984539776	69.0431289672852	69.042	72.6777648925781	3	3	1	55520.7739273765	50426.7037247168	48165.960359664
"FT3220"	501.22783389056	501.149552568928	501.306115212192	61.4051667633157	61.06300000002	61.7473335266113	2	2	1	8431.81780993965	1978.7727852757	424.840578748546
"FT3221"	501.311449306601	501.311449306601	501.311449306601	56.07499999998	56.07499999998	56.07499999998	1	1	1	5267.46243031448	8034.89937685832	8371.0315606827
"FT3222"	501.394059466093	501.39395851863	501.394160413557	48.0959831695557	48.0959663391113	48.096	2	2	1	68771.7284497209	78069.7710341307	75010.5245718384
"FT3223"	501.414998215073	501.39412587766	501.415387901441	56.0760536193848	53.2761840820312	57.07300000002	3	3	1	88195.2042595269	55917.7913828821	59355.8005458069
"FT3224"	502.290983598511	502.290857598104	502.291738301122	68.0451354980469	68.04499999998	71.7779846191406	3	3	1	26439.9733928494	23385.3065201373	25752.569406316
"FT3225"	502.418460138168	502.39762384767	502.418844157349	56.5745268097024	52.3147850036621	61.7473335266113	4	3	1	30921.9300067029	17966.7517220031	18015.9859560205
"FT3226"	502.397488069539	502.397300132004	502.397676007074	47.5974785308838	47.0989570617676	48.096	2	2	1	30764.056490219	27595.5030289721	26764.8736918796
"FT3227"	503.193016102866	503.193016102866	503.193016102866	65.4275588989258	65.4275588989258	65.4275588989258	1	1	1	4423.15021466452	406.823470435392	NA
"FT3228"	503.142536160021	503.142536160021	503.142536160021	382.243011474609	382.243011474609	382.243011474609	1	1	1	2297.63531075174	1378.76915913401	1579.34754374297
"FT3229"	503.323834140537	503.323834140537	503.323834140537	60.819580078125	60.819580078125	60.819580078125	1	1	1	22983.9110214471	4922.35178761851	7171.39878555472
"FT3230"	503.32718035147	503.325621409208	503.409664926812	54.0810317993164	53.2761840820312	55.07800000002	3	3	1	75619.6346681689	25582.6472161088	29268.7459680838
"FT3231"	503.409561606736	503.409527528143	503.40959568533	48.0959831695557	48.0959663391113	48.096	2	2	1	70179.4403435796	66158.1389640462	67443.3470188315
"FT3232"	503.2961771188	503.295869644424	503.296834301598	71.0381393432617	69.042	74.4743423461914	3	3	1	5048.67096231591	5877.42790596067	3437.35208491849
"FT3233"	504.05593851053	504.05593851053	504.05593851053	38.1218185424805	38.1218185424805	38.1218185424805	1	1	1	4812.12302754424	2466.73927333028	3015.95650108337
"FT3234"	504.055770429423	504.055770429423	504.055770429423	43.4500694274902	43.4500694274902	43.4500694274902	1	1	1	13091.4857675171	NA	894.347146288703
"FT3235"	504.12898049209	504.12898049209	504.12898049209	381.251617431641	381.251617431641	381.251617431641	1	1	1	744.883519425988	688.250738218427	1467.99875312806
"FT3236"	504.327939545236	504.327502110662	504.328628809195	57.0730590820312	56.07499999998	61.7473335266113	3	3	1	8311.98089941183	6317.09764063339	6117.33313459119
"FT3237"	504.412935138225	504.412833266718	504.413333321651	47.0989570617676	47.09800000002	52.3147850036621	3	3	1	21738.0297697449	17376.8323425293	20609.3076213039
"FT3238"	505.208519028854	505.208252064418	505.208823850598	76.025146484375	75.027	78.0559997558594	3	3	1	13090.7240457692	11858.4490952152	11692.0255732781
"FT3239"	505.350527250126	505.350489215198	505.350565285054	49.0934875335793	49.09300000002	49.0939750671387	2	2	1	35293.4640942065	28969.0886224975	34186.1189177326
"FT3240"	505.307349693761	505.305161095293	505.309538292229	69.4604797363281	68.0451354980469	70.8758239746094	2	2	1	3754.63748276802	1454.60843636916	1702.83633522034
"FT3241"	505.349945390585	505.349945390585	505.349945390585	55.1852531433105	55.1852531433105	55.1852531433105	1	1	1	37990.5810384987	11976.9998817376	13989.384297942
"FT3242"	505.424051049436	505.423977716675	505.424124382197	47.5969831695657	47.09800000002	48.0959663391113	2	2	1	9314.72017375218	18810.4149407959	22554.6529724659
"FT3243"	505.422812091039	505.422812091039	505.422812091039	53.2761840820312	53.2761840820312	53.2761840820312	1	1	1	24283.1876549342	NA	4316.51759168145
"FT3244"	506.213769352805	506.213769352805	506.213769352805	78.0559997558594	78.0559997558594	78.0559997558594	1	1	1	3120.35872787637	877.806817297451	2412.90539393239
"FT3245"	506.355151840041	506.352478044624	506.426132267324	47.0989570617676	47.09800000002	47.0989570617676	3	2	1	6969.85166124499	7543.00786529557	6480.17863328503
