,mz,rt,rt_start,rt_end,B1_NIST1950_1_6540.mzML,B1_NIST1950_2_6540.mzML,B1_NIST1950_3_6540.mzML,classification
FT3763,664.419142114604,1.01365966796875,1.01365966796875,1.01365966796875,5419.80272124567,1740.98987108655,0.0,0.0
FT4080,981.994905222023,11.623975626627601,11.623975626627601,11.623975626627601,8263382.784646,7857152.22982698,5164281.94357622,0.0
FT1062,210.077135360752,1.2172023773193366,1.2171999999999998,1.2711119333903,29710.2082848901,23354.2506299562,21857.0601837596,1.0
FT1393,243.230382029565,1.0598824183146167,1.0598824183146167,1.0598824183146167,9516.74690792083,863.077603961916,1375.57398909216,0.0
FT0170,99.970589724108,5.074016666667,5.073995971679683,5.0906504313151,13864.072313153,8796.63531565656,7957.46254242838,1.0
FT3801,685.775543515945,13.086900000000002,13.070282999674482,13.086917114257817,9972.78387288182,7779.07389149918,9940.06490471495,1.0
FT0924,195.979213038873,5.032458630371266,5.024150594075517,5.0407666666669995,4846.85171331715,5636.45033589226,4775.081557212,0.0
FT0592,159.10317848856,0.9512176513671867,0.951216666667,1.0291222254435217,135411.63742609,128106.522251628,128124.102091253,1.0
FT1402,245.082731917181,1.5098092397054035,1.5098092397054035,1.5098092397054035,9007.79384392662,3280.7852734293,3695.1274430062,1.0
FT1866,284.033002750296,6.0216,6.0216,6.0216,8288.59366610935,10164.7988063208,5113.09837442721,0.0
FT2040,300.993382913584,4.974283593749833,4.974283333333,4.974283854166667,5609.70605873109,5525.06361145016,8277.04898774945,1.0
FT3311,520.40836704877,0.8016,0.8015994389851884,0.8879364013671867,46645.9492128754,50512.4697204502,47504.834916687,1.0
FT0484,145.014315562666,0.80708745320638,0.80708745320638,0.80708745320638,4599.68035308838,0.0,0.0,0.0
FT0036,60.9930560884822,10.343899536132817,10.343899536132817,10.343899536132817,235220.719809004,177622.206546826,164791.216986293,0.0
FT2151,316.047426570517,0.66859753926595,0.66859753926595,0.66859753926595,10078.3724978685,5623.47261460699,10393.4219430974,0.0
FT0288,117.055754879997,1.2670857747395834,1.2670666666669999,1.3307221730550132,1089536.34571203,907125.926450922,977366.562320482,1.0
FT1840,283.264330853948,8.432116666667,8.432116666667,8.432116666667,216990.228548385,182900.220002548,173307.853237461,0.0
FT1670,264.631193380146,1.0842185974121101,1.0842185974121101,1.0842185974121101,5323.81263735561,3196.00976527459,7496.6619927756,0.0
FT1593,256.236308281273,8.4819839477539,8.4819839477539,8.4819839477539,34849.352930107,18747.7392874285,16216.08310037,0.0
FT2238,328.311531393426,0.951216666667,0.919754219055175,0.9512176513671867,177577.545580093,440155.790025695,476070.053789085,1.0
FT1415,245.98409284389,4.37567240397135,4.37567240397135,4.37567240397135,2158.51713950421,0.0,0.0,1.0
FT2306,338.907566453462,1.0842185974121101,1.0842,1.1511235555013015,254740.527322809,50430.7185943556,47957.726602849,1.0
FT0772,179.056686103904,6.0382334391276,6.038233333332999,6.055021158854166,3118037.39083639,2884222.34738116,2827337.97424204,1.0
FT2801,417.286339870163,0.967842263539465,0.9678333333329999,0.9678511937459316,37920.4101524425,51936.2878919674,51796.6891733433,1.0
FT3326,524.436899641954,0.8015994389851884,0.784966666667,0.8719130833943683,11440.6664636993,9587.63214883729,8102.06215978591,1.0
FT1748,275.054211817419,5.738983662923184,5.738983333333,5.772430928548184,23924.6007559717,15811.0076133684,18931.9746806786,0.0
FT3282,515.279433889059,1.1208566029866533,1.1208566029866533,1.1208566029866533,19543.5769982594,17588.0167974442,14656.5764203668,1.0
FT1155,219.953792756988,13.086917114257817,13.070282999674482,13.120149999999999,7242.6227567189,6477.95321112376,5019.44284618379,1.0
FT2092,307.263819286588,0.83485,0.8348498662312834,0.919754219055175,93840.4327125501,85148.8435415447,90463.0283565279,1.0
FT2178,319.240417421098,5.09065,5.090622456868483,5.0906504313151,8458.06648681643,4562.97791261707,4807.79630981159,1.0
